intervention_class,distance_limit,test_rotation,LOD,TAT,iso_lag,total_cases,lci_cases,uci_cases,cases_saved,cases_saved_lci,cases_saved_uci,mean_Reff_reduction,lci_Reff_reduction,uci_Reff_reduction,intervention
testing,Inf,every-two-weeks-testing,1.00E+03,5,Inf,10120.09,7060.594359,13179.58564,720.13,521.1161001,919.1438999,0.014995,0,0.072139203,two-week-TAT5-LOD103
testing,Inf,weekly-testing,1.00E+07,5,Inf,10049.82,7068.243414,13031.39659,790.4,513.4670448,1067.332955,0.013428,0,0.065302148,weekly-TAT5-LOD107
testing,Inf,every-two-weeks-testing,1.00E+05,5,Inf,9960.91,6994.018456,12927.80154,879.31,587.6920027,1170.927997,0.012362,0,0.060159591,two-week-TAT5-LOD105
testing,Inf,every-two-weeks-testing,1.00E+07,4,Inf,9883.75,6712.585849,13054.91415,956.47,869.1246101,1043.81539,0.017665,0,0.086026054,two-week-TAT4-LOD107
testing,Inf,weekly-testing,1.00E+05,5,Inf,9874.5,7086.12689,12662.87311,965.72,495.5835688,1435.856431,0.025347,0,0.126183854,weekly-TAT5-LOD105
testing,Inf,biweekly-testing,1.00E+07,5,Inf,9718.4,6932.32775,12504.47225,1121.82,649.3827093,1594.257291,0.0228415,0,0.110376351,biweekly-TAT5-LOD107
testing,Inf,weekly-testing,1.00E+03,5,Inf,9682.09,6937.970209,12426.20979,1158.13,643.7402495,1672.519751,0.0305415,0,0.150205733,weekly-TAT5-LOD103
testing,Inf,every-two-weeks-testing,1.00E+05,4,Inf,9675.3,6944.687292,12405.91271,1164.92,637.0231668,1692.816833,0.028701,0,0.137898528,two-week-TAT4-LOD105
testing,Inf,every-two-weeks-testing,1.00E+07,3,Inf,9561.97,7041.051146,12082.88885,1278.25,540.6593133,2015.840687,0.038681,0,0.184766514,two-week-TAT3-LOD107
testing,Inf,every-two-weeks-testing,1.00E+03,4,Inf,9546.31,7002.227579,12090.39242,1293.91,579.4828793,2008.337121,0.034387,0,0.16342233,two-week-TAT4-LOD103
testing,Inf,every-two-weeks-testing,1.00E+01,4,Inf,9449.46,6964.981675,11933.93832,1390.76,616.7287833,2164.791217,0.0353295,0,0.17308481,two-week-TAT4-LOD10
testing,Inf,weekly-testing,1.00E+07,4,Inf,9442.54,6752.657245,12132.42276,1397.68,829.0532138,1966.306786,0.0352065,0,0.172195696,weekly-TAT4-LOD107
testing,Inf,weekly-testing,1.00E+01,5,Inf,9398.55,6925.511075,11871.58892,1441.67,656.1993835,2227.140617,0.0310695,0,0.14945196,weekly-TAT5-LOD10
testing,Inf,biweekly-testing,1.00E+05,5,Inf,9085.14,6745.072849,11425.20715,1755.08,836.6376101,2673.52239,0.0486995,0,0.237076173,biweekly-TAT5-LOD105
testing,Inf,biweekly-testing,1.00E+07,4,Inf,9000.63,6066.059176,11935.20082,1839.59,1515.651283,2163.528717,0.05604,0,0.27356606,biweekly-TAT4-LOD107
testing,Inf,weekly-testing,1.00E+05,4,Inf,8868.81,6608.936951,11128.68305,1971.41,972.773508,2970.046492,0.0574525,0,0.276793517,weekly-TAT4-LOD105
testing,Inf,biweekly-testing,1.00E+01,5,Inf,8592.03,5823.47144,11360.58856,2248.19,1758.239019,2738.140981,0.064851,0,0.317692933,biweekly-TAT5-LOD10
testing,Inf,every-two-weeks-testing,1.00E+05,3,Inf,8579.67,6143.983175,11015.35683,2260.55,1437.727284,3083.372716,0.0580865,0,0.273436243,two-week-TAT3-LOD105
testing,Inf,biweekly-testing,1.00E+03,5,Inf,8568.52,6011.763377,11125.27662,2271.7,1569.947082,2973.452918,0.0643085,0,0.317251815,biweekly-TAT5-LOD103
testing,Inf,every-two-weeks-testing,1.00E+01,3,Inf,8363.71,5828.521664,10898.89834,2476.51,1753.188795,3199.831205,0.06828,0,0.315124281,two-week-TAT3-LOD10
testing,Inf,weekly-testing,1.00E+07,3,Inf,8322.37,5790.26485,10854.47515,2517.85,1791.445609,3244.254391,0.075712,0,0.360933241,weekly-TAT3-LOD107
testing,Inf,every-two-weeks-testing,1.00E+03,3,Inf,8308.83,5971.810498,10645.8495,2531.39,1609.899961,3452.880039,0.068634,0,0.326438659,two-week-TAT3-LOD103
testing,Inf,weekly-testing,1.00E+03,4,Inf,8278.14,6058.231023,10498.04898,2562.08,1523.479436,3600.680564,0.0695505,0,0.338191419,weekly-TAT4-LOD103
testing,Inf,weekly-testing,1.00E+01,4,Inf,8254.55,6063.40382,10445.69618,2585.67,1518.306639,3653.033361,0.070304,0,0.339753143,weekly-TAT4-LOD10
testing,Inf,every-two-weeks-testing,1.00E+07,2,Inf,8131.12,5765.341299,10496.8987,2709.1,1816.36916,3601.83084,0.0729525,0,0.338898506,two-week-TAT2-LOD107
symptom-isolation,Inf,none,1.00E+01,Inf,5,8005.66,5809.0591,10202.2609,2834.56,1772.651359,3896.468641,0.0768345,0,0.37490738,symptom-iso=5
testing,Inf,every-two-weeks-testing,1.00E+05,2,Inf,7479.7,5322.115565,9637.284435,3360.52,2259.594894,4461.445106,0.103047,0,0.466427933,two-week-TAT2-LOD105
testing,Inf,biweekly-testing,1.00E+07,3,Inf,7399.52,5178.558094,9620.481906,3440.7,2403.152365,4478.247635,0.1091825,0,0.516398471,biweekly-TAT3-LOD107
testing,Inf,every-two-weeks-testing,1.00E+03,2,Inf,7263.39,5543.921447,8982.858553,3576.83,2037.789012,5115.870988,0.1180945,0,0.542416479,two-week-TAT2-LOD103
testing,Inf,biweekly-testing,1.00E+05,4,Inf,7257.99,5375.955041,9140.024959,3582.23,2205.755417,4958.704583,0.1115875,0,0.546131323,biweekly-TAT4-LOD105
testing,Inf,every-two-weeks-testing,1.00E+01,2,Inf,7192.99,5046.977465,9339.002535,3647.23,2534.732994,4759.727006,0.119509,0,0.543138725,two-week-TAT2-LOD10
testing,Inf,every-two-weeks-testing,1.00E+07,1,Inf,7189.7,5141.863576,9237.536424,3650.52,2439.846883,4861.193117,0.1224815,0,0.553852944,two-week-TAT1-LOD107
group-size-limit,20,none,1.00E+01,Inf,Inf,7189.69,5280.684785,9098.695215,3650.53,2301.025674,5000.034326,0.1248725,0,1.395095049,group-lim=20
testing,Inf,weekly-testing,1.00E+05,3,Inf,7052.04,4925.587853,9178.492147,3788.18,2656.122606,4920.237394,0.116993,0,0.559606316,weekly-TAT3-LOD105
testing,Inf,biweekly-testing,1.00E+03,4,Inf,6941.84,4613.697728,9269.982272,3898.38,2968.012731,4828.747269,0.140232,0,0.689459997,biweekly-TAT4-LOD103
testing,Inf,biweekly-testing,1.00E+01,4,Inf,6783.47,4687.470574,8879.469426,4056.75,2894.239885,5219.260115,0.143008,0,0.704320231,biweekly-TAT4-LOD10
testing,Inf,weekly-testing,1.00E+03,3,Inf,6749.81,4652.099354,8847.520646,4090.41,2929.611105,5251.208895,0.138082,0,0.655182586,weekly-TAT3-LOD103
testing,Inf,weekly-testing,1.00E+07,2,Inf,6534.27,4419.376233,8649.163767,4305.95,3162.334226,5449.565774,0.1475895,0,0.705258782,weekly-TAT2-LOD107
testing,Inf,weekly-testing,1.00E+01,3,Inf,6515.16,4537.53738,8492.78262,4325.06,3044.173079,5605.946921,0.139974,0,0.666838758,weekly-TAT3-LOD10
symptom-isolation,Inf,none,1.00E+01,Inf,4,6302.9,4557.000391,8048.799609,4537.32,3024.710067,6049.929933,0.162188,0,0.787633837,symptom-iso=4
testing,Inf,every-two-weeks-testing,1.00E+05,1,Inf,6293.31,4680.81283,7905.80717,4546.91,2900.897629,6192.922371,0.1623855,0,0.727367404,two-week-TAT1-LOD105
testing,Inf,biweekly-testing,1.00E+07,2,Inf,5965.1,4290.577352,7639.622648,4875.12,3291.133106,6459.106894,0.1825945,0,0.848908023,biweekly-TAT2-LOD107
testing,Inf,every-two-weeks-testing,1.00E+03,1,Inf,5958.7,4450.927171,7466.472829,4881.52,3130.783288,6632.256712,0.181787,0,0.808237478,two-week-TAT1-LOD103
testing,Inf,every-two-weeks-testing,1.00E+01,1,Inf,5926.58,4436.694645,7416.465355,4913.64,3145.015814,6682.264186,0.183964,0,0.823496204,two-week-TAT1-LOD10
group-size-limit,16,none,1.00E+01,Inf,Inf,5875.63,4766.876885,6984.383115,4964.59,2814.833574,7114.346426,0.1909455,0,1.978449483,group-lim=16
testing,Inf,biweekly-testing,1.00E+05,3,Inf,5529.11,4182.079833,6876.140167,5311.11,3399.630625,7222.589375,0.209382,0,1.015010924,biweekly-TAT3-LOD105
testing,Inf,weekly-testing,1.00E+05,2,Inf,5469.5,4120.688986,6818.311014,5370.72,3461.021473,7280.418527,0.215631,0,1.019957909,weekly-TAT2-LOD105
group-size-limit,12,none,1.00E+01,Inf,Inf,5125.8,4046.092678,6205.507322,5714.42,3535.61778,7893.22222,0.2454715,0,2.403007577,group-lim=12
testing,Inf,weekly-testing,1.00E+03,2,Inf,5006.31,3735.321827,6277.298173,5833.91,3846.388632,7821.431368,0.2535495,0,1.191968106,weekly-TAT2-LOD103
testing,Inf,weekly-testing,1.00E+01,2,Inf,5005.4,3838.219481,6172.580519,5834.82,3743.490978,7926.149022,0.2555915,0,1.204717436,weekly-TAT2-LOD10
testing,Inf,biweekly-testing,1.00E+07,1,Inf,4943.42,3635.230583,6251.609417,5896.8,3946.479876,7847.120124,0.2658115,0,1.178944024,biweekly-TAT1-LOD107
testing,Inf,weekly-testing,1.00E+07,1,Inf,4910.59,3611.355465,6209.824535,5929.63,3970.354994,7888.905006,0.260168,0,1.22032999,weekly-TAT1-LOD107
testing,Inf,biweekly-testing,1.00E+03,3,Inf,4896.47,3550.644003,6242.295997,5943.75,4031.066456,7856.433544,0.2657475,0,1.285998678,biweekly-TAT3-LOD103
testing,Inf,biweekly-testing,1.00E+01,3,Inf,4846.21,3542.363274,6150.056726,5994.01,4039.347185,7948.672815,0.2717885,0,1.317905189,biweekly-TAT3-LOD10
symptom-isolation,Inf,none,1.00E+01,Inf,3,4394.35,3426.521341,5362.178659,6445.87,4155.189118,8736.550882,0.309459,0,1.491668696,symptom-iso=3
testing,Inf,biweekly-testing,1.00E+05,2,Inf,4092.07,3257.003941,4927.136059,6748.15,4324.706518,9171.593482,0.345429,0,1.61108565,biweekly-TAT2-LOD105
testing,Inf,weekly-testing,1.00E+05,1,Inf,3953.66,3060.528189,4846.791811,6886.56,4521.18227,9251.93773,0.367022,0,1.727011747,weekly-TAT1-LOD105
group-size-limit,6,none,1.00E+01,Inf,Inf,3813.09,3285.645098,4340.534902,7027.13,4296.065361,9758.194639,0.393778,0,3.408583611,group-lim=6
testing,Inf,weekly-testing,1.00E+01,1,Inf,3656.27,2820.196671,4492.343329,7183.95,4761.513788,9606.386212,0.430076,0,2.037969611,weekly-TAT1-LOD10
testing,Inf,weekly-testing,1.00E+03,1,Inf,3621,2791.772371,4450.227629,7219.22,4789.938088,9648.501912,0.4220665,0,1.995018816,weekly-TAT1-LOD103
testing,Inf,biweekly-testing,1.00E+03,2,Inf,3514.82,2768.497353,4261.142647,7325.4,4813.213106,9837.586894,0.4538265,0,2.15790279,biweekly-TAT2-LOD103
testing,Inf,biweekly-testing,1.00E+01,2,Inf,3441.78,2660.20854,4223.35146,7398.44,4921.501919,9875.378081,0.4593555,0,2.184486051,biweekly-TAT2-LOD10
testing,Inf,biweekly-testing,1.00E+05,1,Inf,3179.21,2552.29619,3806.12381,7661.01,5029.414269,10292.60573,0.5049965,0,2.319191687,biweekly-TAT1-LOD105
symptom-isolation,Inf,none,1.00E+01,Inf,2,3148.89,2510.766502,3787.013498,7691.33,5070.943956,10311.71604,0.509703,0,2.439884467,symptom-iso=2
testing,Inf,biweekly-testing,1.00E+03,1,Inf,2754.71,2251.099417,3258.320583,8085.51,5330.611042,10840.40896,0.630819,0,3.014245351,biweekly-TAT1-LOD103
testing,Inf,biweekly-testing,1.00E+01,1,Inf,2677.66,2248.045383,3107.274617,8162.56,5333.665076,10991.45492,0.6397525,0,3.045653752,biweekly-TAT1-LOD10
symptom-isolation,Inf,none,1.00E+01,Inf,1,2595.91,2200.522738,2991.297262,8244.31,5381.18772,11107.43228,0.6768385,0,3.272138819,symptom-iso=1
