"","intervention_class","distance_limit","test_rotation","LOD","TAT","iso_lag","trace_lag","total_cases","lci_cases","uci_cases","cases_saved","cases_saved_lci","cases_saved_uci","contact_tracing","mean_Reff_reduction","lci_Reff_reduction","uci_Reff_reduction","intervention"
"24","symptom-isolation","Inf","none","1e+01","Inf","1",Inf,3756.69,3252.44703513244,4260.93296486756,13172.42,9644.42984394169,16700.4101560583,"no contact tracing",0.665749499999973,0,3.757665162855,"symptom-iso=1"
"25","symptom-isolation","Inf","none","1e+01","Inf","2",Inf,4318.52,3602.794683049,5034.245316951,12610.59,9294.08219602513,15927.0978039749,"no contact tracing",0.551228500000008,0,3.11672759933925,"symptom-iso=2"
"26","symptom-isolation","Inf","none","1e+01","Inf","3",Inf,5801.06,4452.8257469755,7149.2942530245,11128.05,8444.05113209863,13812.0488679014,"no contact tracing",0.366153499999974,0,2.03676595741939,"symptom-iso=3"
"27","symptom-isolation","Inf","none","1e+01","Inf","4",Inf,8727.23,6248.21177270844,11206.2482272916,8201.88,6648.6651063657,9755.0948936343,"no contact tracing",0.17614150000002,0,0.968233544304056,"symptom-iso=4"
"28","symptom-isolation","Inf","none","1e+01","Inf","5",Inf,12893.09,9046.6075764092,16739.5724235908,4036.02,3850.26930266494,4221.77069733507,"no contact tracing",0.063935500000017,0,0.347039355590926,"symptom-iso=5"
"29",NA,"Inf","none","1e+01","Inf","Inf",Inf,16929.11,12896.8768790741,20961.3431209259,0,0,0,"no contact tracing",3.84999999623048e-05,0,9.5661125174118e-05,"none"
"30","testing","Inf","semi-weekly-testing","1e+01","1","Inf",1,2782.92,2604.92867131052,2960.91132868948,14146.19,10291.9482077636,18000.4317922364,"with contact tracing",0.990167500000015,0,7.16623791932249,"biweekly-TAT1-LOD10"
"31","testing","Inf","semi-weekly-testing","1e+01","2","Inf",1,3078.8,2833.05838143499,3324.54161856501,13850.31,10063.8184976391,17636.8015023609,"with contact tracing",0.90021149999999,0,6.06730763554774,"biweekly-TAT2-LOD10"
"32","testing","Inf","semi-weekly-testing","1e+01","3","Inf",1,3574.36,3260.16297617828,3888.55702382172,13354.75,9636.71390289585,17072.7860971042,"with contact tracing",0.768010999999994,0,4.87124127480306,"biweekly-TAT3-LOD10"
"33","testing","Inf","semi-weekly-testing","1e+01","4","Inf",1,4200.82,3740.47391547277,4661.16608452723,12728.29,9156.40296360137,16300.1770363986,"with contact tracing",0.625284500000011,0,3.68400775512338,"biweekly-TAT4-LOD10"
"34","testing","Inf","semi-weekly-testing","1e+01","5","Inf",1,4959.31,4393.25333399426,5525.36666600574,11969.8,8503.62354507987,15435.9764549201,"with contact tracing",0.519393000000035,0,2.93987021105958,"biweekly-TAT5-LOD10"
"35","testing","Inf","semi-weekly-testing","1e+01","10","Inf",1,8332.55,6968.34174683332,9696.75825316668,8596.56,5928.53513224081,11264.5848677592,"with contact tracing",0.272210000000023,0,1.41202253954394,"biweekly-TAT10-LOD10"
"36","testing","Inf","weekly-testing","1e+01","1","Inf",1,3654.56,3307.19155576428,4001.92844423572,13274.55,9589.68532330986,16959.4146766901,"with contact tracing",0.721417500000022,0,4.34243432560543,"weekly-TAT1-LOD10"
"37","testing","Inf","weekly-testing","1e+01","2","Inf",1,4151.77,3700.01581283672,4603.52418716328,12777.34,9196.86106623741,16357.8189337626,"with contact tracing",0.624598500000007,0,3.60917085742956,"weekly-TAT2-LOD10"
"38","testing","Inf","weekly-testing","1e+01","3","Inf",1,4745.26,4183.87389630841,5306.64610369159,12183.85,8713.00298276572,15654.6970172343,"with contact tracing",0.527561000000026,0,2.95508577231633,"weekly-TAT3-LOD10"
"39","testing","Inf","weekly-testing","1e+01","4","Inf",1,5391.45,4718.82204531311,6064.07795468689,11537.66,8178.05483376102,14897.265166239,"with contact tracing",0.451905999999995,0,2.50138872698873,"weekly-TAT4-LOD10"
"40","testing","Inf","weekly-testing","1e+01","5","Inf",1,6089.41,5199.23283995732,6979.58716004268,10839.7,7697.64403911682,13981.7559608832,"with contact tracing",0.387399999999995,0,2.09161526942871,"weekly-TAT5-LOD10"
"41","testing","Inf","weekly-testing","1e+01","10","Inf",1,9468.85,7515.80371732188,11421.8962826781,7460.26,5381.07316175226,9539.44683824775,"with contact tracing",0.233244000000033,0,1.18782323902356,"weekly-TAT10-LOD10"
"42","testing","Inf","every-two-weeks-testing","1e+01","1","Inf",1,5518.83,4644.77511961028,6392.88488038972,11410.28,8252.10175946386,14568.4582405361,"with contact tracing",0.427063500000018,0,2.28979526699762,"two-week-TAT1-LOD10"
"43","testing","Inf","every-two-weeks-testing","1e+01","2","Inf",1,6026.49,5000.22485065927,7052.75514934073,10902.62,7896.65202841487,13908.5879715851,"with contact tracing",0.381496499999979,0,2.01388802540303,"two-week-TAT2-LOD10"
"44","testing","Inf","every-two-weeks-testing","1e+01","3","Inf",1,6652.7,5627.23259305078,7678.16740694922,10276.41,7269.64428602335,13283.1757139766,"with contact tracing",0.341658500000001,0,1.80988755305124,"two-week-TAT3-LOD10"
"45","testing","Inf","every-two-weeks-testing","1e+01","4","Inf",1,7279.48,6065.84621588104,8493.11378411896,9649.63,6831.0306631931,12468.2293368069,"with contact tracing",0.304024499999982,0,1.60346762521819,"two-week-TAT4-LOD10"
"46","testing","Inf","every-two-weeks-testing","1e+01","5","Inf",1,7953.58,6698.29910802428,9208.86089197572,8975.53,6198.57777104985,11752.4822289501,"with contact tracing",0.27792149999999,0,1.44699730601126,"two-week-TAT5-LOD10"
"47","testing","Inf","every-two-weeks-testing","1e+01","10","Inf",1,10938.91,8530.53289522779,13347.2871047722,5990.2,4366.34398384634,7614.05601615366,"with contact tracing",0.180950000000031,0,0.90594538433125,"two-week-TAT10-LOD10"
"48","symptom-isolation","Inf","none","1e+01","Inf","1",1,3613.29,3168.2171548881,4058.3628451119,13315.82,9728.65972418603,16902.980275814,"with contact tracing",0.691898499999987,0,3.95610768162764,"symptom-iso=1"
"49","symptom-isolation","Inf","none","1e+01","Inf","2",1,3896.33,3407.1348505884,4385.5251494116,13032.78,9489.74202848573,16575.8179715143,"with contact tracing",0.637224000000024,0,3.62581334020378,"symptom-iso=2"
"50","symptom-isolation","Inf","none","1e+01","Inf","3",1,4379.14,3874.90709133332,4883.37290866668,12549.97,9021.96978774082,16077.9702122592,"with contact tracing",0.556171000000021,0,3.14174664246999,"symptom-iso=3"
"51","symptom-isolation","Inf","none","1e+01","Inf","4",1,5048.4,4467.12342501155,5629.67657498845,11880.71,8429.75345406259,15331.6665459374,"with contact tracing",0.473351500000009,0,2.62744767751208,"symptom-iso=4"
"52","symptom-isolation","Inf","none","1e+01","Inf","5",1,5697.53,4850.54334418192,6544.51665581808,11231.58,8046.33353489222,14416.8264651078,"with contact tracing",0.404872500000018,0,2.18360730507532,"symptom-iso=5"
"53",NA,"Inf","none","1e+01","Inf","Inf",1,16929.11,12896.8768790741,20961.3431209259,0,0,0,"with contact tracing",3.84999999623048e-05,0,9.5661125174118e-05,"none"
